rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.2	0.2	0.5	1.34	0.9336666666666668	0.9	0.7503333333333333	0.8	0.5505	0.18333333333333335	0.612506959326381	0.5497740932240844	0.5806744148642955	0.0	0.3333333333333333	1.0	3.0	70
0.1	0.2	0.2	0.5	2.26	1.3184761904761901	1.42	0.9284166666666667	1.12	0.608690476190476	0.3900595238095238	0.7557999352920348	0.6362935854656511	0.7021839258360997	0.3333333333333333	0.3333333333333333	3.0	3.0	70
0.1	0.2	0.2	0.5	1.59	1.2851666666666668	1.02	0.7330000000000001	0.79	0.5368333333333333	0.5521666666666667	0.6212068556848659	0.5496477724893071	0.5864131626843995	0.0	0.0	3.0	3.0	70
0.1	0.2	0.2	0.5	1.37	1.5081666666666667	0.89	0.8105000000000001	0.86	0.5688333333333332	0.6976666666666668	0.5840667948953713	0.5072545268492644	0.545530085598517	0.0	0.0	2.0	0.0	70
0.1	0.2	0.2	0.5	22.96	4.404817370886345	7.18	2.3425589339253907	5.73	0.385316608894264	2.062258436960953	1.0685111604822901	0.6070099520558775	0.8736733433187008	0.3888888888888889	0.35	18.0	20.0	70
0.1	0.2	0.2	0.5	1.71	1.2235	1.2	0.8851666666666667	1.03	0.6516666666666666	0.33833333333333326	0.7648702999933455	0.6296186652392869	0.7019347236960239	0.6666666666666666	0.9861472366983324	3.0	2.0	70
0.1	0.2	0.2	0.5	3.87	2.114163059163059	1.88	1.3656121933621932	1.93	0.5991046176046172	0.7485508658008658	0.8182249156892344	0.6810311882961477	0.7492808058067446	0.0	0.0	1.0	0.0	70
0.1	0.2	0.3	0.4	56.03	7.57153308310425	9.03	3.4591071171064685	7.68	0.1651152642718906	4.112425965997782	1.574995037611466	0.4160774713291351	0.964948810578964	0.19607843137254902	0.18867924528301888	51.0	53.0	80
0.1	0.2	0.3	0.4	19.78	11.527945504663727	6.27	3.3995105730203083	6.35	0.3856424892289374	8.128434931643417	1.4182311646231571	0.7105941364280032	1.0576742734684352	0.4117647058823529	0.4117647058823529	17.0	17.0	80
0.1	0.2	0.3	0.4	57.43	5.163932376690794	9.11	2.666265537877419	5.92	0.147679663496665	2.497666838813375	1.2664624654204593	0.5808998458261599	0.8581031603166898	0.16129032258064516	0.15873015873015872	62.0	63.0	80
